Wrap up;Заворачивать
Attention;Внимание
Anticlimactic;Разочаровывающе
Agreeing;Согласие
Sign;Знак
Instance;Пример, экземпляр
Depiction;Описание
Tumultuous;Бурный
Pity;Жалость
As though;Как будто
Precise;Точный
Put up;Строить
Get to;Приниматься за
Violence;Насилие
Emerging;Возникновение
Odor;Запах
Splendid;Великолепный
Impressive;Впечатляющий
Soak;Замачивать
Pick out;Выбрать
Whatever;Что угодно
Topic;Тема
Insight;Понимание
Imply;Подразумевать
Burst;Взрыв
Clear up;Прояснить
Mention;Упомянуть
Caved;Прогнулся
Snap;Щелчок
Out of the blue;Ни с того ни с сего
Suppose;Предполагать
Represents;Представляет
Look out;Быть настороже
Therefore;Поэтому
Above;Выше
Look up to;Восхищаться
Ingenuity;Изобретательность
Regard;Внимание
Nuisances;Неприятности
Objections;Возражения
Vital;Жизненно важный
Give off;Выделять
Pretend;Притвориться
Significance;Значение
Occupied;Занятый
Vacation;Отпуск
Innocence;Невинность
Controversial;Противоречивый
Put away;Убрать
Go on;Продолжать
Assemble;Собирать
Agonizing;Мучительный
Accurate;Точный
Pull the strings;Дергать за ниточки
Incapacitated;Недееспособный
Hold up;Задерживать, держаться
Toss;Бросать
Lame;Хромой
Reach out;Тянуться
All at once;Внезапно
Give away;Сдать (кого-то)
Meanwhile;Тем временем
Hold back;Сдерживаться
Unlikely;Вряд ли
Forward;Вперед, дальше
Viscerally;Внутренне
Adorable;Восхитительный
Unit;Единица
Chase;Преследовать
Blessing;Благословение
Lasts;Длится
Subconscious;Подсознание
Hesitate;Сомневаться
Evaluate;Оценивать
Settle down;Успокоиться
State;Состояние
Move on;Двигаться дальше
Pull back;Отступить
Utter;Выговорить, произносить, полный
Entirety;Полнота
Vulnerable;Уязвимый
Fallen out;Выпадать
Suppresses;Подавленный
Bring up;Воспитывать
Faithful;Верный
Stand-in;Замена
Bumped;Наткнулся
Refrain;Воздерживаться
Irritate;Раздражать
Clever;Умный
Carried away;Увлекся
Nitpicky;Придирчивый
Passionately;Страстно
Drawing lots;Жеребьевка
Principal;Главный
Eventually;В конце концов
Look into;Исследовать
Ridiculous;Смешной
Versed;Опытный
Accomplishment;Достижение
Gap;Зазор
Bartender;Бармен
Settle;Уладить
Decline;Отклонить
Faze;Смущать
Pounce;Наброситься, воспользоваться
Brief;Краткий
Upset;Расстроить
Suggest;Предлагать
Pay back;Вернуть долг
Riddle;Загадка
Adjust;Регулировать
Rather;Скорее
Bowl;Чаша
Solidify;Застывать
Either;Либо
Faintest;Слабый
Deprivation;Лишение
Terrify;Ужасать
Lousy;Паршивый
According;В соответствии
Vending;Торговый
Conversation;Беседа
Forth;Вперед
Be of use;Быть полезным
Go back to square one;Вернуться в исходную точку
Mundane;Простой, приземленный
Culprit;Преступник
Affection;Привязанность
Try out;Проверить
Dextrous;Ловкий
Legible;Разборчивый
Pull away;Отстраниться
Exertion;Усилие, напряжение
Freak out;Взбеситься
Turn out;Оказаться
Make up for;Компенсировать
Eliminate;Устранять, исключать
Crack;Треск
Applies;Применяется
Conveyed;Передал
Used to;Привыкший
Rest assured that;Будь уверен что
Yore;Былой, раньше
Thus;Таким образом
Spread;Распространять
Gaudy;Безвкусный
Meaning;Значение
Delight;Восторг
Blow;Дуть
Away;Прочь
Relief;Облегчение
Toss away;Выбрасывать
Plain;Простой
Capable;Способный
Inaccurate;Неточный
Gesture;Жест
Wary;Осторожный
Run away;Сбегать
Compare;Сопоставлять, сравнить
Clean up;Очистить
Mix up;Перепутать
Drown;Тонуть
Mystery;Загадка, тайна
Excess;Избыток
Disgusting;Отвратительный
Shine;Сиять
Fancy;Изысканный
Listen up;Послушай
Lewd;Непристойно
Left out;Упустить, оставить
Essentially;По сути
Essential;Существенный
Inevitably;Неизбежно
Blow up;Взорваться
Lean;Опираться
Assertive;Напористый
Although;Хотя
Glance;Взгляд
Recipient;Получатель
Well-off;Состоятельный
Pursuit;Стремление, погоня
Undergoes;Подвергается
Rigged;Подстроить
Go out;Проводить время вне дома
Notice;Уведомление
Embrace;Объятие
Tug;Рывок
Spot;Место
Dress up;Наряжаться
Festive;Праздничный
Practically;Практически
Immodest;Нескромный
Ogle;Пялиться
Deny;Отрицать
Slight;Легкий, незначительный
Come out;Выходить, появляться
Whining;Нытье
Amount;Количество
Awful;Ужасный
Ditched;Бросил
Perceive;Воспринимать
Shiver;Дрожь
Showdown;Выяснение отношений
Pass away;Умереть, исчезнуть
Basically;В основном, по сути
About to;Собираться
Behave;Вести себя
Odds;Шансы
Afraid;Бояться
Turned on its head;Повернулся с ног на голову
Provide;Обеспечивать
Plotting;Задумывать
Kicked into mode;Перешел в режим
Humiliate;Унижать
Lash out;Наброситься
Stall;Киоск
Note;Примечание
Mock;Насмехаться
Introduce;Представлять
Keep up;Не отставать
Dont mind;Не против
Rub;Тереть
Dense;Плотный
Expand;Расширять
Beneath;Под
Attach;Прикреплять
At last;Наконец
Suddenly;Внезапно
Gloomy;Хмурый
Blatantly;Откровенно
Slip out;Выскользнуть
Remain;Оставаться
Strict;Строгий
Mess up;Испортить
Bring out;Вывести
Rise;Рост
Uneasy;Некомфортно, беспокойно
Snarky;Язвительный
Genuine;Подлинный
Stoic;Стойкий
Inconvenient;Неудобно
Forbidden;Запрещенный
Irresistible;Неотразимый
Hold out;Продержаться, вытянуть
Indecent;Неприличный
Reliable;Надежный
Bland;Мягкий
Caring;Заботливый
Right back at you;Тебе того же, ты тоже
Inconsiderate;Опрометчивый
Collapsed;Рухнул
Parched;Пересохший
Implicit;Скрытый
Compute;Вычислять
Prevent;Предотвращать
Pull off;Снять
Back down;Отступать
Flee;Бежать, исчезать
Since time immemorial;С незапамятных времен
Involve;Вовлекать
Discuss;Обсудить
Verge;Грань
Whisper;Шепот
Twisted;Искривленный
Oddly;Странно
Honored;Заслуженный
I wonder;Мне интересно
Demands;Требования
Piercing;Пронзительный
Run-of-the-mill;Обычный, заурядный
Scatter;Разбрасывать
Conceal;Скрывать
Float;Плавать
Issue;Проблема, издание
Courtyard;Двор
Look forward to;С нетерпением ждать
Resourcefulness;Находчивость
Malevolent;Злобный
Punk;Сопляк
Soluble;Растворимый
Acknowledge;Признавать, допускать
Muffle;Приглушить
Flow;Поток
Disfigured;Обезображенный
Give back;Вернуть
Coincidence;Совпадение
Let down;Подводить, разочаровать
Repress;Подавлять
Lately;В последнее время
Grow up;Взрослеть
Sample;Образец
Cover;Обложка
Foundation;Фундамент
Encompass;Охватывать
Glistening;Блестящий
Fond;Любить
Devoid;Лишенный
Despite;Несмотря
Hang out;Тусоваться
Aflutter;Трепетать
Pretenses;Отговорки
Chore;Рутина
Distress;Горе
Something up;Что-то не так
Merely;Просто
Cavity;Полость
Keep tabs on;Следить за
Never mind;Неважно
Heaven;Небеса
Rendition;Исполнение
Amusing;Занимательный
Excessive;Излишний
Let go;Отпустить
Dignity;Достоинство
Guilt;Вина
However;Однако
Tricky;Сложный, мудреный
Obstinate;Упрямый
Convince;Убеждать
Confide;Доверять
Infiltrated;Проник
Consume;Потреблять, поглощать
Nevertheless;Тем не менее
Partway through;В какой-то момент
Addiction;Зависимость
Amateur;Любитель
Touchy;Обидчивый
Mean;Иметь в виду
Stair;Лестница
Come over;Присоедениться
Tied;Связанный
Urgent;Срочный
Unpleasant;Неприятный
For the time being;До поры до времени
Whirlwind;Вихрь
Persistent;Настойчивый
Abandon;Покинуть
Garbage;Мусор
Spell out;Излагать, расшифровать
Get hooked;Подсесть (на что-то)
Spouting off nonsense;Нести чушь
Naturally;Естесственно
Sight;Точка зрения
Shortcoming;Недостаток
Barely;Едва
Injury;Рана
Inclination;Склонность
Catch up;Догнать
Entirely;Полностью
Beg;Просить
Claim;Требовать
Discontent;Недовольство
Shift;Смена
Shape;Форма
Frigidly;Холодно
Make out;Разглядеть
Wander;Бродить
Tenacity;Упорство
Knock off;Сбить
Moron;Придурок
Drag;Тащить
Upon;На
Frighteningly;Пугающе
Tough;Жесткий
Innocuous;Безобидный
Take up;Начать заниматься
Slippery;Скользкий
Familiar;Знакомый, привычный
Kick off;Начал
Prohibiting;Запрещающий
Matter;Иметь значение
Compassion;Сострадание
Suit yourself;Делай, что хочешь
Admit;Признать
Aware;Осведомленность
Revolve;Вращаться
Show up;Появиться
Ventured;Рискнул
Make a pass at;Заигрывать
Fight off;Отбить
Retiree;Пенсионер
Suggestive;Вызывающий мысли
Held aloft;Держаться в воздухе
Pathetic;Жалкий
Gain;Получать
Grand;Великий
Cut back;Сокращать
Spit;Плевать
Stick out;Высовывать
Besides;Кроме того
Courtship;Ухаживание
Uphill;В гору
Relevant;Соответствующий
Crumble;Рассыпаться
Respective;Соответствующий
Screw up;Облажаться
Reward;Вознаграждение
Regardless;Несмотря на
Figure out;Выяснить
Beyond;Вне, за
Ungrateful;Неблагодарный
Survey;Опрос
Roof;Крыша
Express;Выражать
Outweighs;Перевешивает
Noticed;Заметить
Several;Несколько
Realize;Осознавать
Obedient;Покорный
Cold feet;Трусость
Tense;Напряженный
Attend;Посещать
Temporarily;Временно
Favor;Услуга
Insolent;Наглый
Fairly;Довольно, справедливо
Ought;Должен
A while;Какое-то время
Lead around;Водить вокруг
Otherwise;В противном случае
Concern;Беспокойство
Meanie;Жадина
Hold off;Откладывать
Immerse;Погружать
Instill;Внушать
Narrow;Узкий
Intense;Интенсивный
Declaration;Заявление
Cling;Цепляться
Look for;Искать
Behind;Позади
Petty;Мелкий
Go ahead;Иди, продолжай
Trick;Трюк, обман
Relentlessly;Безжалостно
Overflow;Переполнение
Let in;Впустить
Ally;Союзник
Look up;Искать
Making smth up;Выдумывать что-то
Conduct;Руководить
Ethnic;Этнический
Ulterior;Скрытый
Careless;Беспечный
Look after;Присматривать, заботиться
Particularly;Особенно
Foster;Взращивать
Beverages;Напитки
Coffin;Гроб
Starch;Крахмал
Varieties;Разновидности
Sheer;Явный
Either;Или
All in all;В целом
Bare;Голый
Entry;Вход
Extent;Степень
I wish;Я хотел бы
Back then;Тогда
Meticulous;Дотошный
Predicament;Затруднение
Mess with;Подшутить
Condition;Условие
Lethal;Смертельный
Harsh;Суровый
Root;Корень
Fatigue;Усталость
Utterly;Полностью
Towards;В направлении
Tight;Тугой
Desperate;Отчаяние
Discharged;Выписан
Identical;Идентично
Catch;Поймать, схватить
Put;Помещать
Pick up;Подобрать, забрать
Sadness;Грусть
Limelight;Центр внимания
Confident;Уверенный
Give up;Сдаваться (в чем-то)
Connoisseur;Знаток
Fright;Испуг
Supremely;В высшей степени
So far;До сих пор, пока, уже
Stiff;Жесткий, тугой
Bring;Принести
Look down on;Смотреть свысока
Certain;Определенный
Rely;Полагаться
So am i;Я тоже
